dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,oc1,identity,46,max_depth,1.0,50,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,oc1,identity,46,max_depth,2.0,50,1.0,train,0.8115,0.8284804367606915,0.7792041078305519,0.8844099077221952,0.7861957603419244
polymerase,oc1,identity,46,max_depth,2.0,50,1.0,test,0.7943971985992997,0.8117269812185066,0.7476793248945147,0.8877755511022044,0.766342611032929
polymerase,oc1,identity,46,max_depth,3.0,50,1.0,train,0.8465,0.853530534351145,0.8387248007501172,0.8688683827100534,0.8505416869693638
polymerase,oc1,identity,46,max_depth,3.0,50,1.0,test,0.8364182091045522,0.8416464891041162,0.8144329896907216,0.8707414829659319,0.8366122399980047
polymerase,oc1,identity,46,max_depth,4.0,50,1.0,train,0.8785,0.8875,0.8478549314462627,0.9310344827586207,0.8875171504422792
polymerase,oc1,identity,46,max_depth,4.0,50,1.0,test,0.8414207103551776,0.8492629576795054,0.8081447963800905,0.8947895791583166,0.8620970663085217
polymerase,oc1,identity,46,max_depth,5.0,50,1.0,train,0.87975,0.8865833529827871,0.8615948670944088,0.9130645944633318,0.9132836169491532
polymerase,oc1,identity,46,max_depth,5.0,50,1.0,test,0.8334167083541771,0.8374816983894583,0.8163653663177926,0.8597194388777555,0.8697395752503942
polymerase,oc1,identity,46,max_depth,6.0,50,1.0,train,0.8875,0.8923959827833573,0.8789448893075836,0.9062651772705197,0.9195174724449625
polymerase,oc1,identity,46,max_depth,6.0,50,1.0,test,0.840920460230115,0.843811394891945,0.8275529865125241,0.8607214428857716,0.8699135130716369
