depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
2,0.79,,0.7709923664122137,0.8637751985339035,0.6962087641555884,True,no_adaptivity,42
3,0.85025,,0.8597518145633342,0.8196428571428571,0.9039881831610044,True,no_adaptivity,42
4,0.87175,,0.8694988552531162,0.8994736842105263,0.8414574101427869,True,no_adaptivity,42
5,0.884,,0.888354186717998,0.8687058823529412,0.9089118660758247,True,no_adaptivity,42
6,0.886,,0.8885085574572127,0.8824672170956775,0.8946331856228459,True,no_adaptivity,42
7,0.888,,0.8893280632411067,0.8924144769459593,0.8862629246676514,True,no_adaptivity,42
8,0.888,,0.8893280632411067,0.8924144769459593,0.8862629246676514,True,no_adaptivity,42
9,0.888,,0.8893280632411067,0.8924144769459593,0.8862629246676514,True,no_adaptivity,42
10,0.888,,0.8893280632411067,0.8924144769459593,0.8862629246676514,True,no_adaptivity,42
1,0.77175,,0.80121924667973,0.7258382642998028,0.8940719144800777,True,no_adaptivity,43
2,0.79175,,0.7743159035491737,0.8750765462339253,0.6943634596695821,True,no_adaptivity,43
3,0.86425,,0.8688088910364823,0.8640076886112446,0.8736637512147716,True,no_adaptivity,43
4,0.87775,,0.8793486306439674,0.8932330827067669,0.8658892128279884,True,no_adaptivity,43
5,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
6,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
7,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
8,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
9,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
10,0.89325,,0.8965851295713247,0.8937711250603573,0.8994169096209913,True,no_adaptivity,43
1,0.76775,,0.7959587085438172,0.7179080824088748,0.8930507639231149,True,no_adaptivity,44
2,0.8265,,0.829985301322881,0.8251339503166099,0.8348940364711681,True,no_adaptivity,44
3,0.85575,,0.8654070445533006,0.8215234720992028,0.9142434696895022,True,no_adaptivity,44
4,0.88325,,0.8866779907789372,0.8733269598470363,0.9004435682602268,True,no_adaptivity,44
5,0.88325,,0.8866779907789372,0.8733269598470363,0.9004435682602268,True,no_adaptivity,44
6,0.885,,0.8872549019607843,0.8824963432471965,0.8920650566781666,True,no_adaptivity,44
7,0.887,,0.8878968253968254,0.8936595107338992,0.8822079842286841,True,no_adaptivity,44
8,0.8895,,0.89171974522293,0.8865075499269361,0.8969935929029078,True,no_adaptivity,44
9,0.8895,,0.89171974522293,0.8865075499269361,0.8969935929029078,True,no_adaptivity,44
10,0.8895,,0.89171974522293,0.8865075499269361,0.8969935929029078,True,no_adaptivity,44
1,0.774,,0.8014059753954306,0.724960254372019,0.8958742632612967,True,no_adaptivity,45
2,0.80625,,0.7942659941598089,0.8642403235124205,0.7347740667976425,True,no_adaptivity,45
3,0.8615,,0.8660541586073501,0.8528571428571429,0.8796660117878192,True,no_adaptivity,45
4,0.86875,,0.8715439197455346,0.8683568990736226,0.8747544204322201,True,no_adaptivity,45
5,0.88025,,0.8861962461392254,0.8582604693971468,0.9160117878192534,True,no_adaptivity,45
6,0.8825,,0.8871819491118579,0.8676056338028169,0.9076620825147348,True,no_adaptivity,45
7,0.8825,,0.8871819491118579,0.8676056338028169,0.9076620825147348,True,no_adaptivity,45
8,0.8845,,0.887481734047735,0.8801932367149758,0.8948919449901768,True,no_adaptivity,45
9,0.8845,,0.887481734047735,0.8801932367149758,0.8948919449901768,True,no_adaptivity,45
10,0.8845,,0.887481734047735,0.8801932367149758,0.8948919449901768,True,no_adaptivity,45
1,0.77275,,0.8021762785636561,0.7267350157728707,0.8950947061680428,True,no_adaptivity,46
2,0.8135,,0.8145201392342118,0.8344370860927153,0.7955318115590092,True,no_adaptivity,46
3,0.85225,,0.8678148065309774,0.8043117744610282,0.9422049538610976,True,no_adaptivity,46
4,0.879,,0.8801980198019802,0.8975265017667845,0.8635259834871297,True,no_adaptivity,46
5,0.88575,,0.8922931887815225,0.8667582417582418,0.9193783389995144,True,no_adaptivity,46
6,0.89,,0.8939759036144578,0.8871353419416547,0.900922778047596,True,no_adaptivity,46
7,0.89075,,0.8957289429730375,0.8803939962476548,0.9116075764934434,True,no_adaptivity,46
8,0.89075,,0.8957289429730375,0.8803939962476548,0.9116075764934434,True,no_adaptivity,46
9,0.89075,,0.8957289429730375,0.8803939962476548,0.9116075764934434,True,no_adaptivity,46
10,0.89075,,0.8957289429730375,0.8803939962476548,0.9116075764934434,True,no_adaptivity,46
1,0.76725,,0.7877820834283109,0.733446519524618,0.8508124076809453,True,no_adaptivity,42
2,0.80425,,0.8110977080820265,0.7951750236518449,0.82767109798129,True,no_adaptivity,42
3,0.86725,,0.8766550522648083,0.8298153034300791,0.929098966026588,True,no_adaptivity,42
4,0.86875,,0.8747315676449535,0.8486111111111111,0.9025110782865584,True,no_adaptivity,42
5,0.87825,,0.8867178413584554,0.8403880070546738,0.9384539635647464,True,no_adaptivity,42
6,0.888,,0.8947368421052632,0.8557303370786516,0.9374692269817824,True,no_adaptivity,42
7,0.894,,0.8980769230769231,0.8774072334429309,0.9197439684884292,True,no_adaptivity,42
